# timestamp x y z qx qy qz qw
# vloam_depth_vo.m -- V-LOAM depth-anchored VO, scala metrica da LiDAR (non arbitraria come monovslam_test.m)
# 3438/3467 passi con >=1 corrispondenza a profondita' nota; il resto porta avanti la scala per inerzia (eq. 4 sola, epipolare)
1785426652.903766 -0.000304 -0.000199 0.001351 0.000043162 -0.000138766 0.000205273 0.999999968
1785426653.003766 -0.000311 -0.000202 0.001370 0.000052163 -0.000145626 0.000230690 0.999999961
1785426653.103766 -0.000318 -0.000207 0.001382 0.000055158 -0.000141683 0.000241299 0.999999959
1785426653.203766 -0.000320 -0.000209 0.001390 0.000044440 -0.000140854 0.000231797 0.999999962
1785426653.303766 -0.000323 -0.000212 0.001397 0.000047629 -0.000133908 0.000233830 0.999999963
1785426653.403766 -0.000325 -0.000214 0.001401 0.000049881 -0.000147024 0.000227583 0.999999962
1785426653.503766 -0.000327 -0.000219 0.001422 0.000069096 -0.000168640 0.000269632 0.999999947
1785426653.603766 -0.000331 -0.000223 0.001434 0.000073730 -0.000177998 0.000285161 0.999999941
1785426653.703766 -0.000331 -0.000223 0.001437 0.000080934 -0.000183965 0.000297573 0.999999936
1785426653.803766 -0.000335 -0.000226 0.001452 0.000093604 -0.000188689 0.000324954 0.999999925
1785426653.903766 -0.000347 -0.000235 0.001475 0.000093090 -0.000185255 0.000323850 0.999999926
1785426654.003766 -0.000352 -0.000238 0.001488 0.000103492 -0.000181129 0.000330335 0.999999924
1785426654.103766 -0.000359 -0.000243 0.001510 0.000101552 -0.000179479 0.000335339 0.999999923
1785426654.203766 -0.000371 -0.000252 0.001539 0.000094215 -0.000169736 0.000308089 0.999999934
1785426654.303766 -0.000389 -0.000263 0.001581 0.000099372 -0.000179385 0.000320663 0.999999928
1785426654.403766 -0.000387 -0.000259 0.001565 0.000096404 -0.000188308 0.000331301 0.999999923
1785426654.503766 -0.000384 -0.000257 0.001559 0.000101604 -0.000184261 0.000315930 0.999999928
1785426654.603766 -0.000388 -0.000261 0.001580 0.000108958 -0.000169381 0.000286615 0.999999939
1785426654.703766 -0.000392 -0.000265 0.001594 0.000083340 -0.000158729 0.000246407 0.999999954
1785426654.803766 -0.000390 -0.000264 0.001590 0.000043780 -0.000142562 0.000260994 0.999999955
1785426654.903766 -0.000389 -0.000263 0.001586 0.000032397 -0.000142602 0.000252238 0.999999957
1785426655.003766 -0.000387 -0.000262 0.001582 0.000005718 -0.000136581 0.000242419 0.999999961
1785426655.103766 -0.000386 -0.000262 0.001581 0.000048715 -0.000157208 0.000239242 0.999999958
1785426655.203766 -0.000386 -0.000262 0.001581 0.000114678 -0.000245650 0.000190935 0.999999945
1785426655.303766 -0.000386 -0.000261 0.001580 0.000130241 -0.000267335 0.000188445 0.999999938
1785426655.403766 -0.000395 -0.000266 0.001597 0.000126624 -0.000261339 0.000187560 0.999999940
1785426655.503766 -0.000404 -0.000273 0.001619 0.000121138 -0.000262868 0.000165260 0.999999944
1785426655.603766 -0.000406 -0.000275 0.001625 0.000124263 -0.000254278 0.000210048 0.999999938
1785426655.703766 -0.000474 -0.000352 0.001782 0.000125549 -0.000255549 0.000229640 0.999999933
1785426655.803766 -0.000538 -0.000451 0.001905 0.000126765 -0.000258122 0.000242435 0.999999929
1785426655.903766 -0.000538 -0.000451 0.001905 -0.000145047 -0.000424578 0.000932835 0.999999464
1785426656.003766 -0.000534 -0.000460 0.001890 -0.000178033 -0.000465968 0.001050111 0.999999324
1785426656.103766 -0.000541 -0.000478 0.001898 -0.000194154 -0.000484711 0.001137374 0.999999217
1785426656.203766 -0.000541 -0.000478 0.001899 -0.000176448 -0.000453301 0.001221372 0.999999136
1785426656.303766 -0.000541 -0.000478 0.001896 -0.000173022 -0.000463090 0.001232106 0.999999119
1785426656.403766 -0.000541 -0.000478 0.001896 -0.000186258 -0.000472498 0.001239917 0.999999102
1785426656.503766 -0.000545 -0.000481 0.001904 -0.000187247 -0.000470816 0.001219226 0.999999128
1785426656.603766 -0.000549 -0.000486 0.001914 -0.000186402 -0.000472860 0.001228482 0.999999116
1785426656.703766 -0.000550 -0.000488 0.001920 -0.000192791 -0.000471752 0.001229154 0.999999115
1785426656.803766 -0.000552 -0.000490 0.001925 -0.000186881 -0.000469843 0.001225830 0.999999121
1785426656.903766 -0.000551 -0.000489 0.001921 -0.000182181 -0.000476485 0.001246761 0.999999093
1785426657.003766 -0.000551 -0.000489 0.001919 -0.000162075 -0.000477288 0.001270116 0.999999066
1785426657.103766 -0.000546 -0.000486 0.001911 -0.000156169 -0.000484444 0.001297311 0.999999029
1785426657.203766 -0.000544 -0.000484 0.001902 -0.000149688 -0.000477326 0.001294071 0.999999038
1785426657.303766 -0.000542 -0.000483 0.001898 -0.000144282 -0.000461915 0.001297796 0.999999041
1785426657.403766 -0.000540 -0.000482 0.001892 -0.000142847 -0.000457993 0.001308861 0.999999028
1785426657.503766 -0.000536 -0.000480 0.001885 -0.000142205 -0.000450568 0.001302401 0.999999040
1785426657.603766 -0.000536 -0.000480 0.001886 -0.000133535 -0.000442729 0.001324783 0.999999016
1785426657.703766 -0.000536 -0.000480 0.001886 -0.000119516 -0.000435928 0.001340958 0.999998999
1785426657.803766 -0.000540 -0.000482 0.001898 -0.000110885 -0.000443475 0.001346610 0.999998989
1785426657.903766 -0.000556 -0.000486 0.001930 -0.000104919 -0.000447115 0.001361193 0.999998968
1785426658.003766 -0.000558 -0.000487 0.001937 -0.000101470 -0.000441845 0.001346339 0.999998991
1785426658.103766 -0.000561 -0.000489 0.001943 -0.000100253 -0.000456569 0.001366598 0.999998957
1785426658.203766 -0.000562 -0.000490 0.001946 -0.000116524 -0.000369723 0.001387041 0.999998963
1785426658.303766 -0.000563 -0.000491 0.001947 -0.000125053 -0.000338630 0.001411992 0.999998938
1785426658.403766 -0.000563 -0.000491 0.001948 -0.000131437 -0.000318230 0.001421852 0.999998930
1785426658.503766 -0.000567 -0.000492 0.001954 -0.000134424 -0.000259563 0.001430160 0.999998935
1785426658.603766 -0.000574 -0.000497 0.001969 -0.000137036 -0.000258287 0.001422810 0.999998945
1785426658.703766 -0.000581 -0.000500 0.001984 -0.000124097 -0.000264730 0.001453633 0.999998901
1785426658.803766 -0.000585 -0.000503 0.001995 -0.000131342 -0.000261822 0.001434864 0.999998928
1785426658.903766 -0.000595 -0.000510 0.002014 -0.000127875 -0.000259836 0.001436352 0.999998927
1785426659.003766 -0.000632 -0.000540 0.002073 -0.000134128 -0.000253773 0.001428113 0.999998939
1785426659.103766 -0.000640 -0.000547 0.002098 -0.000146575 -0.000245392 0.001409322 0.999998966
1785426659.203766 -0.000227 -0.004629 0.007102 -0.000336118 -0.000458784 0.003510628 0.999993676
1785426659.303766 -0.008165 -0.007898 -0.004562 -0.000518067 -0.000278874 0.005418372 0.999985147
1785426659.403766 -0.008165 -0.007897 -0.004563 -0.000520851 -0.000271964 0.005516350 0.999984612
1785426659.503766 -0.008165 -0.007897 -0.004563 0.001183052 0.000764737 0.002123335 0.999996754
1785426659.603766 0.142796 0.028086 0.492126 0.001276630 0.000857469 0.001937305 0.999996941
1785426659.703766 0.146480 0.031853 0.534207 0.001497283 0.001344033 0.001410823 0.999996981
1785426659.803766 -0.052259 0.016610 -0.066100 0.001477546 0.001337757 0.001425169 0.999996998
1785426659.903766 -0.069194 -0.018497 -0.014271 -0.000035497 0.005199961 0.009360421 0.999942669
1785426660.003766 -0.081266 -0.025097 0.005284 0.004558279 0.006300491 0.025700177 0.999639448
1785426660.103766 -0.074193 0.006705 0.101258 0.006790903 0.009431848 0.020820743 0.999715670
1785426660.203766 -0.004619 0.010177 0.306311 0.006797732 0.009450362 0.020794262 0.999716000
1785426660.303766 -0.004619 0.010177 0.306311 0.007259745 0.010776074 0.021072973 0.999693504
1785426660.403766 -0.004626 0.010170 0.306320 0.007251503 0.010790658 0.021054155 0.999693803
1785426660.503766 -0.085731 0.016716 0.336854 0.009740132 0.020653326 0.024606005 0.999436398
1785426660.603766 -0.085723 0.016657 0.336816 0.009733762 0.020649620 0.024599858 0.999436688
1785426660.703766 -0.085723 0.016656 0.336816 0.009667755 0.020668289 0.024621524 0.999436410
1785426660.803766 -0.085722 0.016657 0.336814 0.009664842 0.020699808 0.024575714 0.999436913
1785426660.903766 -0.085722 0.016657 0.336813 0.009633090 0.020721239 0.024595833 0.999436281
1785426661.003766 -0.085721 0.016657 0.336813 0.009654922 0.020695471 0.024571487 0.999437203
1785426661.103766 -0.085719 0.016658 0.336810 0.009673199 0.020693234 0.024582421 0.999436803
1785426661.203766 -0.192818 0.016557 0.062781 0.009692251 0.020682403 0.024556350 0.999437484
1785426661.303766 -0.192704 0.016642 0.062569 0.006819037 0.020579064 0.016386457 0.999630675
1785426661.403766 -0.192759 0.016571 0.062641 0.006822116 0.020586334 0.016398952 0.999630300
1785426661.503766 -0.192759 0.016570 0.062641 0.006860323 0.020600729 0.016381092 0.999630034
1785426661.603766 -0.192760 0.016570 0.062642 0.006853959 0.020607982 0.016408245 0.999629483
1785426661.703766 -0.193067 0.007331 0.062924 0.006889022 0.020615617 0.016366574 0.999629768
1785426661.803766 -0.193068 0.007331 0.062926 0.006880654 0.020618598 0.016372195 0.999629672
1785426661.903766 -0.193073 0.007327 0.062933 0.006879311 0.020614162 0.016366521 0.999629866
1785426662.003766 -0.193073 0.007326 0.062934 0.006872942 0.020623348 0.016408055 0.999629039
1785426662.103766 -0.193073 0.007326 0.062934 0.006862125 0.020650149 0.016466451 0.999627600
1785426662.203766 -0.193079 0.007318 0.062968 0.006871767 0.020654453 0.016468725 0.999627407
1785426662.303766 -0.193080 0.007312 0.063031 0.006873355 0.020651881 0.016470041 0.999627428
1785426662.403766 -0.193081 0.007312 0.063034 0.006849854 0.020604874 0.016565889 0.999626975
