sample_idx,zed_file,posetum_delta_s,cloud_delta_s,n_orb_total,n_with_depth,n_without_depth,coverage_pct
0,right_000000.png,-3.95487689971924,0.0463435649871826,2885,386,2499,13.3795493934142
1,right_000010.png,-7.73187685012817,0.0646367073059082,3007,395,2612,13.1360159627536
2,right_000020.png,-11.7128767967224,0.0849063396453857,3091,340,2751,10.9996764801035
3,right_000030.png,-15.7268767356873,0.0738232135772705,2979,348,2631,11.6817724068479
4,right_000040.png,11.8914246559143,0.0934665203094482,1867,164,1703,8.78414568826995
5,right_000050.png,7.84442448616028,0.0394570827484131,2972,465,2507,15.6460296096904
6,right_000060.png,3.8974244594574,0.0985004901885986,2916,466,2450,15.9807956104252
7,right_000070.png,-0.117575407028198,0.0846257209777832,2778,481,2297,17.3146148308135
8,right_000080.png,-0.530574083328247,0.0666811466217041,2673,394,2279,14.7399925177703
9,right_000090.png,1.09038877487183,0.0887467861175537,3172,498,2674,15.6998738965952
10,right_000100.png,1.47592067718506,0.0764291286468506,3042,355,2687,11.6699539776463
11,right_000110.png,0.291671276092529,0.0887866020202637,3118,321,2797,10.2950609364978
12,right_000120.png,0.881557464599609,0.0760180950164795,3063,273,2790,8.9128305582762
13,right_000130.png,-0.502615451812744,0.096099853515625,3054,292,2762,9.56123117223314
14,right_000140.png,0.286535024642944,0.0842185020446777,2908,375,2533,12.8954607977992
15,right_000150.png,1.26873683929443,0.0716590881347656,2763,256,2507,9.2652913499819
16,right_000160.png,2.29335689544678,0.0859713554382324,2020,194,1826,9.6039603960396
17,right_000170.png,1.07756114006042,0.0723838806152344,2317,192,2125,8.2865774708675
18,right_000180.png,-0.107473373413086,0.0938377380371094,2301,352,1949,15.2976966536289
19,right_000190.png,-0.719063758850098,0.0827176570892334,3126,137,2989,4.38259756877799
20,right_000200.png,2.06589150428772,0.0699939727783203,4112,37,4075,0.899805447470817
21,right_000210.png,0.282898426055908,0.0874664783477783,1922,182,1740,9.46930280957336
22,right_000220.png,-2.52681303024292,0.0743076801300049,4553,440,4113,9.6639578300022
23,right_000230.png,-0.509802103042603,0.089641809463501,2786,369,2417,13.2447954055994
24,right_000240.png,0.244333267211914,0.043018102645874,2262,428,1834,18.921308576481
25,right_000250.png,0.699735164642334,0.0975265502929688,1979,395,1584,19.9595755432036
26,right_000260.png,0.681880235671997,0.0837879180908203,2192,344,1848,15.6934306569343
27,right_000270.png,0.871325254440308,0.0716791152954102,1493,329,1164,22.0361687876758
28,right_000280.png,-0.909674406051636,0.0844047069549561,1842,316,1526,17.1552660152009
29,right_000290.png,-4.92367458343506,0.0731773376464844,1798,401,1397,22.3025583982202
30,right_000300.png,1.49497127532959,0.0928397178649902,1897,416,1481,21.9293621507644
31,right_000310.png,0.476266622543335,0.0798227787017822,1652,337,1315,20.3995157384988
32,right_000320.png,-0.732547760009766,0.0673706531524658,2463,245,2218,9.94721883881445
33,right_000330.png,0.0868124961853027,0.0868124961853027,2044,452,1592,22.1135029354207
34,right_000340.png,0.437327146530151,0.0387935638427734,2323,351,1972,15.1097718467499
35,right_000350.png,0.6868736743927,0.087918758392334,2838,500,2338,17.6180408738548
36,right_000360.png,-0.955950975418091,0.042325496673584,4226,304,3922,7.19356365357312
37,right_000370.png,-0.308161497116089,0.0963034629821777,2560,240,2320,9.375
38,right_000380.png,0.276321411132812,0.0813667774200439,1069,165,904,15.4349859681946
39,right_000390.png,1.06951594352722,0.0637803077697754,2395,420,1975,17.5365344467641
40,right_000400.png,-0.944530963897705,0.0548751354217529,2667,477,2190,17.8852643419573
41,right_000410.png,0.670291662216187,0.0744373798370361,3028,430,2598,14.2007926023778
42,right_000420.png,0.294792413711548,0.0922222137451172,2228,348,1880,15.6193895870736
43,right_000430.png,-0.122646331787109,0.0793652534484863,2135,246,1889,11.5222482435597
44,right_000440.png,-0.506989002227783,0.091313362121582,2228,439,1789,19.7037701974865
45,right_000450.png,0.282373666763306,0.0816471576690674,2758,670,2088,24.2929659173314
46,right_000460.png,-0.362484455108643,0.0335795879364014,3566,743,2823,20.8356702187325
47,right_000470.png,-0.509225130081177,0.0898950099945068,9064,104,8960,1.14739629302736
48,right_000480.png,-0.124413728713989,0.0765583515167236,19331,0,19331,0
49,right_000490.png,-0.540673971176147,0.056053638458252,14500,117,14383,0.806896551724138
50,right_000500.png,0.47925853729248,0.0761990547180176,5203,298,4905,5.72746492408226
51,right_000510.png,-0.898536682128906,0.0977847576141357,4193,496,3697,11.8292392082042
52,right_000520.png,0.0853309631347656,0.0853309631347656,5728,424,5304,7.40223463687151
53,right_000530.png,-0.13080620765686,0.0704982280731201,5563,427,5136,7.67571454251303
54,right_000540.png,-0.709444284439087,0.0915570259094238,5600,604,4996,10.7857142857143
55,right_000550.png,0.0787453651428223,0.0787453651428223,3945,376,3569,9.53105196451204
56,right_000560.png,0.294468641281128,0.0917069911956787,3418,262,3156,7.66530134581627
57,right_000570.png,0.484012365341187,0.0800521373748779,2761,265,2496,9.59797174936617
58,right_000580.png,0.665601968765259,0.0674734115600586,2938,422,2516,14.3635125936011
59,right_000590.png,-1.91095566749573,0.0885589122772217,3536,372,3164,10.5203619909502
60,right_000600.png,0.875377178192139,0.0753333568572998,3749,351,3398,9.36249666577754
61,right_000610.png,-0.706015348434448,0.0929210186004639,2711,405,2306,14.9391368498709
62,right_000620.png,0.278224468231201,0.0768265724182129,3210,287,2923,8.94080996884735
63,right_000630.png,-0.502179145812988,0.0962574481964111,2941,322,2619,10.9486569194152
64,right_000640.png,0.084078311920166,0.084078311920166,3943,324,3619,8.21709358356581
65,right_000650.png,-0.332137107849121,0.0713298320770264,4568,392,4176,8.58143607705779
