timestamp,solar_zenith_deg,solar_azimuth_deg,aoi_deg,ghi_w_m2,dni_w_m2,dhi_w_m2,poa_global_w_m2,poa_direct_w_m2,poa_diffuse_w_m2,iam,poa_effective_w_m2
2026-07-30 00:00:00+02:00,113.55263282334614,339.5679883019859,59.3995458796227,0.0,0.0,0.0,0.0,0.0,0.0,0.9490424983809049,0.0
2026-07-30 00:05:00+02:00,113.85077902617789,340.8204269674194,60.58445686856601,0.0,0.0,0.0,0.0,0.0,0.0,0.9428761935023515,0.0
2026-07-30 00:10:00+02:00,114.13075472002716,342.0806709313625,61.769328922377895,0.0,0.0,0.0,0.0,0.0,0.0,0.9359889843666397,0.0
2026-07-30 00:15:00+02:00,114.39231425992446,343.34833309368275,62.954107569996815,0.0,0.0,0.0,0.0,0.0,0.0,0.9282959491409091,0.0
2026-07-30 00:20:00+02:00,114.63522433323016,344.62299960503674,64.13873926669382,0.0,0.0,0.0,0.0,0.0,0.0,0.9197016945657532,0.0
2026-07-30 00:25:00+02:00,114.85926514157052,345.9042321214283,65.32317240790466,0.0,0.0,0.0,0.0,0.0,0.0,0.9100989529671892,0.0
2026-07-30 00:30:00+02:00,115.0642310131859,347.1915675126155,66.50735581689021,0.0,0.0,0.0,0.0,0.0,0.0,0.8993669896256536,0.0
2026-07-30 00:35:00+02:00,115.24993145757054,348.48452032548863,67.69123963499491,0.0,0.0,0.0,0.0,0.0,0.0,0.887369749173299,0.0
2026-07-30 00:40:00+02:00,115.41619185859086,349.78258371527113,68.8747746374412,0.0,0.0,0.0,0.0,0.0,0.0,0.8739537278068157,0.0
2026-07-30 00:45:00+02:00,115.56285416353687,351.0852305382294,70.05791156242316,0.0,0.0,0.0,0.0,0.0,0.0,0.8589455106768273,0.0
2026-07-30 00:50:00+02:00,115.68977771912304,352.3919163563662,71.24060203759743,0.0,0.0,0.0,0.0,0.0,0.0,0.8421488890548754,0.0
2026-07-30 00:55:00+02:00,115.79683973595593,353.7020799797074,72.42279713490805,0.0,0.0,0.0,0.0,0.0,0.0,0.8233415291131314,0.0
2026-07-30 01:00:00+02:00,115.88393597524046,355.0151469486624,73.60444847063481,0.0,0.0,0.0,0.0,0.0,0.0,0.8022710344603186,0.0
2026-07-30 01:05:00+02:00,115.95098110762021,356.3305303347575,74.78550677380993,0.0,0.0,0.0,0.0,0.0,0.0,0.7786503595444987,0.0
2026-07-30 01:10:00+02:00,115.99790919822662,357.6476344621114,75.96592299486667,0.0,0.0,0.0,0.0,0.0,0.0,0.7521523492166291,0.0
2026-07-30 01:15:00+02:00,116.02467394016767,358.965855896682,77.14564688231052,0.0,0.0,0.0,0.0,0.0,0.0,0.7224033182363176,0.0
2026-07-30 01:20:00+02:00,116.03124892111497,0.28458714784324,78.32462793657564,0.0,0.0,0.0,0.0,0.0,0.0,0.6889753512401041,0.0
2026-07-30 01:25:00+02:00,116.01762771600175,1.603218647537858,79.50281478083924,0.0,0.0,0.0,0.0,0.0,0.0,0.651377127021155,0.0
2026-07-30 01:30:00+02:00,115.98382393509664,2.9211407476245768,80.68015453306101,0.0,0.0,0.0,0.0,0.0,0.0,0.6090428934342133,0.0
2026-07-30 01:35:00+02:00,115.92987114113102,4.237747481660733,81.85659375602094,0.0,0.0,0.0,0.0,0.0,0.0,0.5613190859605992,0.0
2026-07-30 01:40:00+02:00,115.85582272922727,5.552437647433692,83.03207703585562,0.0,0.0,0.0,0.0,0.0,0.0,0.5074481617605208,0.0
2026-07-30 01:45:00+02:00,115.76175162144482,6.864618664391628,84.20654808251946,0.0,0.0,0.0,0.0,0.0,0.0,0.44654874478487083,0.0
2026-07-30 01:50:00+02:00,115.64775001005856,8.173707535285644,85.3799483023848,0.0,0.0,0.0,0.0,0.0,0.0,0.37759135611670813,0.0
2026-07-30 01:55:00+02:00,115.51392883568997,9.479134531258296,86.55221788667903,0.0,0.0,0.0,0.0,0.0,0.0,0.2993682843627934,0.0
2026-07-30 02:00:00+02:00,115.36041740827496,10.780343951488476,87.72329437436245,0.0,0.0,0.0,0.0,0.0,0.0,0.2104562797789929,0.0
2026-07-30 02:05:00+02:00,115.1873627118083,12.0767973827476,88.89311356738502,0.0,0.0,0.0,0.0,0.0,0.0,0.1091697058914202,0.0
2026-07-30 02:10:00+02:00,114.99492880111202,13.367975058196294,90.06160886439167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-30 02:15:00+02:00,114.78329618377768,14.653377066036285,91.22871058555516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-30 02:20:00+02:00,114.55266086979171,15.93252612017477,92.39434685667807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-30 02:25:00+02:00,114.3032337879688,17.2049675596528,93.55844212806923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-30 02:30:00+02:00,114.03523968745772,18.470271918849562,94.72091818478708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-30 02:35:00+02:00,113.7489165215482,19.728034574717526,95.8816926418183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
